game_pk,game_date,home_team,away_team,type,play_id,inning,ab_number,cap_index,outs,batter,stand,batter_name,pitcher,p_throws,pitcher_name,team_batting,team_fielding,team_batting_id,team_fielding_id,result,des,events,contextMetrics,strikes,balls,pre_strikes,pre_balls,call,call_name,pitch_call,is_strike_swinging,result_code,pitch_type,pitch_name,description,start_speed,end_speed,sz_top,sz_bot,extension,plateTime,zone,spin_rate,breakX,inducedBreakZ,breakZ,px,pz,pfxX,pfxZ,pfxZWithGravity,pfxXWithGravity,pfxXNoAbs,plateTimeSZDepth,savantIsInZone,isInZone,isSword,is_bip_out,is_abs_challenge,plate_x,plate_z,pitch_number,player_total_pitches,player_total_pitches_pitch_types,pitcher_pa_number,pitcher_time_thru_order,game_total_pitches,batSpeed,hit_distance,xba,is_barrel,hc_x_ft,hc_y_ft,hit_speed,hit_angle,launch_speed,launch_angle,runnerOn1B,runnerOn2B,runnerOn3B,is_last_pitch,double_header,game_number
825107,2026-03-31,AZ,DET,pitch,9bb99339-a397-32ea-b87e-ee7950ddb378,3,23,34,2,682985,L,Riley Greene,694297,R,Brandon Pfaadt,DET,AZ,116,109,Double,Riley Greene doubles (1) on a sharp line drive to right fielder Corbin Carroll. Colt Keith scores. Kevin McGonigle scores.,Double,,0,0,0,0,S,Strike,foul,False,F,FF,4-Seam Fastball,Foul,93.1,85.3,3.3,1.67,6.66,0.4,6,2385,5.9,14.9,-16.7,0.3973,2.7118,0.49,1.24,-1.39,0.49,0.49,0.38,True,True,False,False,False,0.3973,2.7118,1,40,2,13,2,72,69.3,,,,,,,,,,True,True,True,False,N,1
825107,2026-03-31,AZ,DET,pitch,fae8d50c-161a-3a8d-bb8f-9aca1c2b1938,3,23,34,2,682985,L,Riley Greene,694297,R,Brandon Pfaadt,DET,AZ,116,109,Double,Riley Greene doubles (1) on a sharp line drive to right fielder Corbin Carroll. Colt Keith scores. Kevin McGonigle scores.,Double,"{""homeRunBallparks"": 0}",1,0,1,0,X,In Play,hit_into_play,False,E,FC,Cutter,"In play, run(s)",90.6,83.3,3.3,1.67,6.44,0.41,3,2630,1.1,8.8,-24.5,0.6641,2.8993,-0.09,0.73,-2.04,1.1,-0.09,0.39,True,True,False,False,False,0.6641,2.8993,2,41,7,13,2,73,70.7,333.0,0.43,0,113.7,358.66,101.0,20.0,101.0,20.0,True,True,True,True,N,1
825107,2026-03-31,AZ,DET,pitch,17064c8e-2c9d-31f9-a680-280b152b2a81,3,24,33,2,681481,L,Kerry Carpenter,694297,R,Brandon Pfaadt,DET,AZ,116,109,Single,Kerry Carpenter singles on a sharp line drive to right fielder Corbin Carroll. Riley Greene scores.,Single,,0,0,0,0,B,Ball,ball,False,B,CU,Curveball,Ball,81.9,75.3,3.23,1.63,6.49,0.46,14,2552,11.4,-11.5,-52.6,0.1146,1.4288,-0.95,-0.96,-4.38,11.4,-0.95,0.43,False,False,False,False,True,0.1146,1.4288,1,42,8,14,2,74,,,,,,,,,,,,True,,False,N,1
825107,2026-03-31,AZ,DET,pitch,23fad00f-6c0d-30ba-aa1f-fbf54758ec17,3,24,33,2,681481,L,Kerry Carpenter,694297,R,Brandon Pfaadt,DET,AZ,116,109,Single,Kerry Carpenter singles on a sharp line drive to right fielder Corbin Carroll. Riley Greene scores.,Single,"{""homeRunBallparks"": 0}",0,1,0,1,X,In Play,hit_into_play,False,E,CH,Changeup,"In play, run(s)",87.1,80.1,3.23,1.63,6.79,0.43,8,1986,15.6,5.2,-30.8,0.0898,1.6523,1.3,0.43,-2.57,1.3,1.3,0.41,True,True,False,False,False,0.0898,1.6523,2,43,4,14,2,75,76.4,247.0,0.7,0,145.3,257.16,108.2,14.0,108.2,14.0,,True,,True,N,1
825107,2026-03-31,AZ,DET,pitch,17c9111f-3719-3586-90fd-8f14365ddf58,3,25,0,2,679529,R,Spencer Torkelson,694297,R,Brandon Pfaadt,DET,AZ,116,109,Forceout,"Spencer Torkelson grounds into a force out, shortstop Geraldo Perdomo to second baseman Ketel Marte. Kerry Carpenter out at 2nd.",Forceout,,0,0,0,0,B,Ball,ball,False,B,ST,Sweeper,Ball,83.9,77.0,3.23,1.63,6.55,0.45,14,2714,10.2,4.4,-34.6,1.0278,1.3826,-0.85,0.37,-2.88,10.2,-0.85,0.42,False,False,False,True,False,1.0278,1.3826,1,44,8,15,2,76,,,,,,,,,,,True,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,b957fc96-78c9-367d-becb-d41e4319cc0e,3,25,0,2,679529,R,Spencer Torkelson,694297,R,Brandon Pfaadt,DET,AZ,116,109,Forceout,"Spencer Torkelson grounds into a force out, shortstop Geraldo Perdomo to second baseman Ketel Marte. Kerry Carpenter out at 2nd.",Forceout,,0,1,0,1,B,Ball,ball,False,B,SI,Sinker,Ball,93.6,85.5,3.23,1.63,6.82,0.4,12,2396,14.6,9.6,-21.8,1.11,2.4353,1.22,0.8,-1.82,1.22,1.22,0.38,False,False,False,True,False,1.11,2.4353,2,45,16,15,2,77,,,,,,,,,,,True,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,51a31ad2-56eb-3f28-a974-eae51add3632,3,25,0,2,679529,R,Spencer Torkelson,694297,R,Brandon Pfaadt,DET,AZ,116,109,Forceout,"Spencer Torkelson grounds into a force out, shortstop Geraldo Perdomo to second baseman Ketel Marte. Kerry Carpenter out at 2nd.",Forceout,,0,2,0,2,S,Strike,called_strike,False,C,FC,Cutter,Called Strike,88.7,82.1,3.23,1.63,6.49,0.42,5,2646,3.0,7.2,-27.2,0.0403,2.6546,-0.25,0.6,-2.27,3.0,-0.25,0.4,True,True,False,True,False,0.0403,2.6546,3,46,8,15,2,78,,,,,,,,,,,True,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,a55b94ad-8cc2-3bcc-9b0b-7cd4f0f71722,3,25,0,2,679529,R,Spencer Torkelson,694297,R,Brandon Pfaadt,DET,AZ,116,109,Forceout,"Spencer Torkelson grounds into a force out, shortstop Geraldo Perdomo to second baseman Ketel Marte. Kerry Carpenter out at 2nd.",Forceout,,1,2,1,2,S,Strike,called_strike,False,C,SI,Sinker,Called Strike,93.4,85.3,3.23,1.63,6.67,0.4,8,2302,15.0,6.1,-25.4,0.2727,1.7917,1.25,0.51,-2.12,1.25,1.25,0.38,True,True,False,True,False,0.2727,1.7917,4,47,17,15,2,79,,,,,,,,,,,True,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,1b5f3494-b29c-323f-8597-08cb6a5e9a22,3,25,0,2,679529,R,Spencer Torkelson,694297,R,Brandon Pfaadt,DET,AZ,116,109,Forceout,"Spencer Torkelson grounds into a force out, shortstop Geraldo Perdomo to second baseman Ketel Marte. Kerry Carpenter out at 2nd.",Forceout,"{""homeRunBallparks"": 0}",2,2,2,2,X,In Play,hit_into_play,False,X,SI,Sinker,"In play, out(s)",94.0,85.7,3.23,1.63,6.71,0.4,5,2316,15.4,7.3,-23.8,0.1964,2.3942,1.28,0.61,-1.98,1.28,1.28,0.38,True,True,False,True,False,0.1964,2.3942,5,48,18,15,2,80,72.0,7.0,0.12,0,-30.68,116.49,97.7,-20.0,97.7,-20.0,True,,,True,N,1
825107,2026-03-31,AZ,DET,pitch,8791e304-e81b-3d52-848f-90ebd2ef639e,3,26,0,1,606466,L,Ketel Marte,663554,R,Casey Mize,AZ,DET,109,116,Groundout,"Ketel Marte grounds out, second baseman Gleyber Torres to first baseman Spencer Torkelson.",Groundout,,0,0,0,0,B,Ball,ball,False,B,SL,Slider,Ball,86.3,79.6,3.22,1.62,7.01,0.44,13,2228,3.8,7.9,-28.7,-0.4607,0.8498,-0.32,0.66,-2.39,3.8,-0.32,0.41,False,False,False,True,False,-0.4607,0.8498,1,33,10,11,2,81,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,7c61be2d-3150-30fb-bdaf-54fd92090fa9,3,26,0,1,606466,L,Ketel Marte,663554,R,Casey Mize,AZ,DET,109,116,Groundout,"Ketel Marte grounds out, second baseman Gleyber Torres to first baseman Spencer Torkelson.",Groundout,,0,1,0,1,B,Ball,ball,False,B,FF,4-Seam Fastball,Ball,93.2,84.2,3.22,1.62,6.8,0.41,11,2214,9.0,18.2,-13.6,-0.8937,3.4723,0.75,1.52,-1.13,0.75,0.75,0.38,False,False,False,True,False,-0.8937,3.4723,2,34,16,11,2,82,,,,,,,,,,,,,,False,N,1
